Round: 351 | Move: up    | Time spent: 1.64s | Reached depth: 4
Round: 352 | Move: up    | Time spent: 1.43s | Reached depth: 4
Round: 353 | Move: left  | Time spent: 0.43s | Reached depth: 3
Round: 354 | Move: down  | Time spent: 0.71s | Reached depth: 4
Round: 355 | Move: left  | Time spent: 2.09s | Reached depth: 4
Round: 356 | Move: up    | Time spent: 1.65s | Reached depth: 4
Round: 357 | Move: up    | Time spent: 1.78s | Reached depth: 4
Round: 358 | Move: up    | Time spent: 1.48s | Reached depth: 4
Round: 359 | Move: left  | Time spent: 2.34s | Reached depth: 4
Round: 360 | Move: down  | Time spent: 3.18s | Reached depth: 4
Round: 361 | Move: left  | Time spent: 1.11s | Reached depth: 4
Round: 362 | Move: left  | Time spent: 0.89s | Reached depth: 4
Round: 363 | Move: up    | Time spent: 0.87s | Reached depth: 4
Round: 364 | Move: left  | Time spent: 1.78s | Reached depth: 4
Round: 365 | Move: down  | Time spent: 1.01s | Reached depth: 4
Round: 366 | Move: left  | Time spent: 32.12s | Reached depth: 4
Round: 367 | Move: up    | Time spent: 1.75s | Reached depth: 4
Round: 368 | Move: down  | Time spent: 0.64s | Reached depth: 4
Round: 369 | Move: left  | Time spent: 0.53s | Reached depth: 4
Round: 370 | Move: down  | Time spent: 0.50s | Reached depth: 4
Round: 371 | Move: down  | Time spent: 0.62s | Reached depth: 4
Round: 372 | Move: left  | Time spent: 0.57s | Reached depth: 4
Round: 373 | Move: down  | Time spent: 0.85s | Reached depth: 4
Round: 374 | Move: up    | Time spent: 0.53s | Reached depth: 4
Round: 375 | Move: left  | Time spent: 0.59s | Reached depth: 4
Round: 376 | Move: down  | Time spent: 0.37s | Reached depth: 4
Round: 377 | Move: left  | Time spent: 0.83s | Reached depth: 4
Round: 378 | Move: up    | Time spent: 0.83s | Reached depth: 4
Round: 379 | Move: up    | Time spent: 0.79s | Reached depth: 4
Round: 380 | Move: down  | Time spent: 0.57s | Reached depth: 4
Round: 381 | Move: down  | Time spent: 0.48s | Reached depth: 4
Round: 382 | Move: up    | Time spent: 0.45s | Reached depth: 4
Round: 383 | Move: left  | Time spent: 0.69s | Reached depth: 4
Round: 384 | Move: up    | Time spent: 1.62s | Reached depth: 4
Round: 385 | Move: left  | Time spent: 2.30s | Reached depth: 4
Round: 386 | Move: left  | Time spent: 2.81s | Reached depth: 4
Round: 387 | Move: down  | Time spent: 2.73s | Reached depth: 4
Round: 388 | Move: up    | Time spent: 3.49s | Reached depth: 4
Round: 389 | Move: left  | Time spent: 2.00s | Reached depth: 4
Round: 390 | Move: up    | Time spent: 3.63s | Reached depth: 4
Round: 391 | Move: left  | Time spent: 0.40s | Reached depth: 3
Round: 392 | Move: down  | Time spent: 0.31s | Reached depth: 3
Round: 393 | Move: up    | Time spent: 4.35s | Reached depth: 4
Round: 394 | Move: down  | Time spent: 0.39s | Reached depth: 3
Round: 395 | Move: down  | Time spent: 3.49s | Reached depth: 4
Round: 396 | Move: left  | Time spent: 2.42s | Reached depth: 4
Round: 397 | Move: up    | Time spent: 2.45s | Reached depth: 4
Round: 398 | Move: left  | Time spent: 2.09s | Reached depth: 4
Round: 399 | Move: up    | Time spent: 1.68s | Reached depth: 4
Round: 400 | Move: left  | Time spent: 1.09s | Reached depth: 4
Round: 401 | Move: down  | Time spent: 0.89s | Reached depth: 4
Round: 402 | Move: left  | Time spent: 1.52s | Reached depth: 4
Round: 403 | Move: left  | Time spent: 1.15s | Reached depth: 4
Round: 404 | Move: left  | Time spent: 1.52s | Reached depth: 4
Round: 405 | Move: down  | Time spent: 1.75s | Reached depth: 4
Round: 406 | Move: left  | Time spent: 2.15s | Reached depth: 4
Round: 407 | Move: up    | Time spent: 2.01s | Reached depth: 4
Round: 408 | Move: up    | Time spent: 1.75s | Reached depth: 4
Round: 409 | Move: left  | Time spent: 2.60s | Reached depth: 4
Round: 410 | Move: left  | Time spent: 0.31s | Reached depth: 3
Round: 411 | Move: down  | Time spent: 2.02s | Reached depth: 4
Round: 412 | Move: left  | Time spent: 1.51s | Reached depth: 4
Round: 413 | Move: down  | Time spent: 0.79s | Reached depth: 4
Round: 414 | Move: left  | Time spent: 1.37s | Reached depth: 4
Round: 415 | Move: up    | Time spent: 1.61s | Reached depth: 4
Round: 416 | Move: up    | Time spent: 1.62s | Reached depth: 4
Round: 417 | Move: left  | Time spent: 2.58s | Reached depth: 4
Round: 418 | Move: down  | Time spent: 1.69s | Reached depth: 4
Round: 419 | Move: up    | Time spent: 1.79s | Reached depth: 4
Round: 420 | Move: left  | Time spent: 1.01s | Reached depth: 4
Round: 421 | Move: up    | Time spent: 0.62s | Reached depth: 4
Round: 422 | Move: down  | Time spent: 2.22s | Reached depth: 5
Round: 423 | Move: down  | Time spent: 0.34s | Reached depth: 4
Round: 424 | Move: up    | Time spent: 1.02s | Reached depth: 5
Round: 425 | Move: down  | Time spent: 2.02s | Reached depth: 5
Round: 426 | Move: down  | Time spent: 1.13s | Reached depth: 5
Round: 427 | Move: right | Time spent: 0.76s | Reached depth: 4
